name,domain,status,passed,steps,nl_statement,lean4_code
srdoty_alg_Z_n_513,Algebra,success,True,2,Let $R$ be a ring and let $a\in R$. Show that $(-1)a = -a$.,"import Mathlib

theorem neg_one_mul_eq_neg {R : Type _} [Ring R] (a : R) : (-1 : R) * a = -a := by sorry
"
srdoty_alg_Z_n_511,Algebra,success,True,2,"Let $R$ be a ring and let $a,b,c\in R$. Show that $a(b-c) = ab - ac$.","import Mathlib

variable {R : Type _} [Ring R]

theorem mul_sub_left (a b c : R) : a * (b - c) = a * b - a * c := by sorry
"
srdoty_alg_Z_n_782,Algebra,success,True,2,"Let $R$ be a ring and let $a,b,c \in R$. Prove each of the following: $a \cdot 0 = 0 = 0 \cdot a$, $a(-b) = -(ab) = (-a)b$, $(-a)(-b) = ab$, $a(b-c) = ab - ac$, and $(-1)a = -a$.","import Mathlib

namespace srdoty_alg_Z_n_782

variable {R : Type _} [Ring R]
variable (a b c : R)

/-- a * 0 = 0 -/
theorem mul_zero : a * 0 = 0 := by sorry

/-- 0 * a = 0 -/
theorem zero_mul : 0 * a = 0 := by sorry

/-- a * (-b) = -(a * b) -/
theorem mul_neg : a * (-b) = -(a * b) := by sorry

/-- (-a) * b = -(a * b) -/
theorem neg_mul : (-a) * b = -(a * b) := by sorry

/-- (-a) * (-b) = a * b -/
theorem neg_mul_neg : (-a) * (-b) = a * b := by sorry

/-- a * (b - c) = a * b - a * c -/
theorem distrib_sub : a * (b - c) = a * b - a * c := by sorry

/-- (-1) * a = -a -/
theorem neg_one_mul : (-1 : R) * a = -a := by sorry

end srdoty_alg_Z_n_782
"
srdoty_alg_Z_n_509,Algebra,success,True,4,"Let $R$ be a ring and let $a,b\in R$. Show that $(-a)(-b) = ab$.","import Mathlib

theorem neg_mul_neg_example {R : Type _} [Ring R] (a b : R) : (-a) * (-b) = a * b := by sorry
"
srdoty_alg_Z_n_673,Algebra,success,True,4,"Let $n$ be a fixed positive integer and let $a,b,c,d \in \mathbb{Z}$. Suppose that $a \equiv b \pmod{n}$ and $c \equiv d \pmod{n}$. Show that $ac \equiv bd \pmod{n}$.","import Mathlib

open Int

/-!
Let n be a fixed positive integer and let a,b,c,d ∈ ℤ.
Suppose that a ≡ b (mod n) and c ≡ d (mod n).
Show that ac ≡ bd (mod n).
-/

theorem srdoty_alg_Z_n_673 (n : Int) (hn : 0 < n) {a b c d : Int}
  (h1 : a ≡ b [ZMOD n]) (h2 : c ≡ d [ZMOD n]) : a * c ≡ b * d [ZMOD n] := by
  sorry
"
srdoty_alg_Z_n_507,Algebra,success,True,4,"Let $R$ be a ring and let $a,b\in R$. Show that $a(-b) = -(ab) = (-a)b$.","import Mathlib

theorem srdoty_alg_Z_n_507 (R : Type _) [Ring R] (a b : R) : a * -b = -(a * b) ∧ -(a * b) = (-a) * b := by
  sorry
"
srdoty_alg_Z_n_779,Algebra,success,True,6,"Let $n>0$ be an integer and let $a,b \in \mathbb{Z}$. Prove that $a \equiv b \pmod{n}$ if and only if $a$ and $b$ have the same remainder upon division by $n$.","import Mathlib

/-!
Let n > 0 be an integer and let a, b ∈ ℤ. Prove that a ≡ b (mod n)
iff a and b have the same remainder upon division by n.
-/

theorem srdoty_alg_Z_n_779 (n : Int) (hn : 0 < n) (a b : Int) :
  Int.ModEq n a b ↔ a % n = b % n := by sorry
"
srdoty_alg_Z_n_815,Algebra,success,True,3,Define a relation $\approx$ on $\mathbb{R}$ by $a \approx b$ if and only if $a-b \in \mathbb{Z}$. Prove that $\approx$ is an equivalence relation on $\mathbb{R}$.,"import Mathlib

/-
Define a relation ≈ on the real numbers by a ≈ b iff a - b ∈ ℤ.
We express this as: approx a b := ∃ k : Int, a - b = k.
-/

def approx (a b : Real) : Prop := ∃ k : Int, a - b = k

theorem approx_equivalence : Equivalence (approx : Real → Real → Prop) := by sorry
"
srdoty_alg_Z_n_671,Algebra,success,True,5,"Let $n$ be a fixed positive integer and let $a,b,c,d \in \mathbb{Z}$. Suppose that $a \equiv b \pmod{n}$ and $c \equiv d \pmod{n}$. Show that $a+c \equiv b+d \pmod{n}$.","import Mathlib

/-!
Let n be a fixed integer and a,b,c,d ∈ ℤ. Suppose a ≡ b (mod n) and c ≡ d (mod n).
Show that a + c ≡ b + d (mod n).
-/

theorem srdoty_alg_Z_n_671 (n a b c d : Int) (h1 : a ≡ b [ZMOD n]) (h2 : c ≡ d [ZMOD n]) :
  a + c ≡ b + d [ZMOD n] := by sorry
"
srdoty_alg_Z_n_505,Algebra,success,True,6,Let $R$ be a ring and let $a\in R$. Show that $a\cdot 0 = 0 = 0\cdot a$.,"import Mathlib

/-!
Simple lemmas: in any ring, a * 0 = 0 and 0 * a = 0.
-/

theorem mul_zero_in_ring {R : Type*} [Ring R] (a : R) : a * 0 = 0 := by sorry

theorem zero_mul_in_ring {R : Type*} [Ring R] (a : R) : 0 * a = 0 := by sorry
"
srdoty_alg_Z_n_607,Algebra,success,True,7,"Let $n$ be a fixed positive integer and let $a,b,c\in \mathbb{Z}$. Show that if $a \equiv b \pmod{n}$ and $b \equiv c \pmod{n}$, then $a \equiv c \pmod{n}$.","import Mathlib

/-!
Let n be a fixed positive integer and let a,b,c ∈ ℤ.
Show that if a ≡ b [ZMOD n] and b ≡ c [ZMOD n], then a ≡ c [ZMOD n].
-/

theorem srdoty_alg_Z_n_607 (n : Int) {a b c : Int}
  (hab : a ≡ b [ZMOD n]) (hbc : b ≡ c [ZMOD n]) : a ≡ c [ZMOD n] := by sorry
"
srdoty_alg_Sylow_402,Algebra,success,True,2,"Prove that if $G$ is a finite group in which every element has order a power of a fixed prime $p$, then $\lvert G\rvert = p^r$ for some integer $r\ge 1$.","import Mathlib

open Nat

/-!
We state: If G is a finite group in which every element has order a power of a fixed prime p,
then |G| = p^r for some integer r ≥ 1 (assuming the group is nontrivial).
-/

variable {G : Type*} [Group G] [Fintype G]

theorem card_pow_prime_of_all_elements_have_p_power_order {p : ℕ} (hp : p.Prime)
  (h_orders : ∀ g : G, ∃ k : ℕ, orderOf g = p ^ k)
  (h_card_gt_one : (Fintype.card G) > 1) :
  ∃ r : ℕ, 1 ≤ r ∧ Fintype.card G = p ^ r := by sorry
"
srdoty_alg_Z_n_1021,Algebra,success,True,3,Let $n>1$ be an integer. Prove that the linear congruence $ax \equiv b \pmod{n}$ has a solution in $\mathbb{Z}_n$ whenever the class $[a] \in \mathbb{Z}_n$ is a unit.,"import Mathlib

/--
Let n>1 be an integer. The linear congruence a x ≡ b (mod n) has a solution in Z_n
whenever the class [a] ∈ Z_n is a unit.
-/
theorem srdoty_alg_Z_n_1021 {n : ℕ} (hn : 1 < n) {a b : ZMod n} (ha : IsUnit a) :
  ∃ x : ZMod n, a * x = b := by sorry
"
srdoty_alg_Z_n_901,Algebra,success,True,6,"Let $n$ be a positive integer. A congruence class $[a] \in \mathbb{Z}_n$ is a unit if and only if $\gcd(a,n) = 1$. Hence, the set $\mathbb{Z}_n^{\times}$ of units in $\mathbb{Z}_n$ is equal to $\{ [a] \in \mathbb{Z}_n : \gcd(a,n) = 1 \}$.","import Mathlib

/-!
Let n be a positive integer. A congruence class [a] in ZMod n is a unit iff gcd(a,n) = 1.
Hence the set of units in ZMod n equals { [a] : ZMod n | gcd(a,n) = 1 }.
-/

theorem zmod_unit_iff_gcd {n : ℕ} (hn : 0 < n) (a : ℕ) : IsUnit (a : ZMod n) ↔ Nat.gcd a n = 1 := by sorry

theorem zmod_units_set_eq {n : ℕ} (hn : 0 < n) : { x : ZMod n | IsUnit x } = { x : ZMod n | ∃ a : ℕ, x = (a : ZMod n) ∧ Nat.gcd a n = 1 } := by sorry
"
srdoty_alg_Z_n_828,Algebra,success,True,9,"Let $n$ be a fixed positive integer and let $a,b,c,d\in \mathbb{Z}$ with $a \equiv b \pmod{n}$ and $c \equiv d \pmod{n}$. Prove that $a+c \equiv b+d \pmod{n}$ and $ac \equiv bd \pmod{n}$.","import Mathlib

/-
Let n be a fixed positive integer and a,b,c,d ∈ ℤ with a ≡ b (mod n) and c ≡ d (mod n).
Prove that a+c ≡ b+d (mod n) and ac ≡ bd (mod n).
-/
theorem srdoty_alg_Z_n_828 (n : ℤ) (hn : 0 < n) (a b c d : ℤ)
  (hab : a ≡ b [ZMOD n]) (hcd : c ≡ d [ZMOD n]) :
  a + c ≡ b + d [ZMOD n] ∧ a * c ≡ b * d [ZMOD n] := by
  sorry
"
srdoty_alg_Z_n_930,Algebra,success,True,8,Let $n$ be a positive integer. Then $\mathbb{Z}_n$ is a field if and only if $n$ is a prime number.,"import Mathlib

/-!
Let n be a positive integer. Then ZMod n is a field iff n is prime.
-/

theorem zmod_isField_iff_prime {n : ℕ} (hn : 0 < n) : IsField (ZMod n) ↔ Nat.Prime n := by sorry
"
srdoty_alg_Z_n_970,Algebra,success,True,9,Prove that a commutative ring $R$ is a field if and only if $R^{\times} = R\setminus\{0\}$.,"import Mathlib

open Set

/-- A commutative ring R is a field iff the set of units equals the set of nonzero elements. -/
theorem comm_ring.field_iff_units_eq_nonzero (R : Type _) [CommRing R] :
  IsField R ↔ (Set.range (fun u : Units R => (u : R))) = {x : R | x ≠ 0} := by sorry
"
