name,domain,status,passed,steps,nl_statement,lean4_code
srdoty_alg_Z_n_782,Algebra,success,True,2,"Let $R$ be a ring and let $a,b,c \in R$. Prove each of the following: $a \cdot 0 = 0 = 0 \cdot a$, $a(-b) = -(ab) = (-a)b$, $(-a)(-b) = ab$, $a(b-c) = ab - ac$, and $(-1)a = -a$.","import Mathlib

variable {R : Type _} [Ring R]
variable (a b c : R)

-- a * 0 = 0
theorem mul_zero_eq_zero : a * 0 = 0 := by sorry

-- 0 * a = 0
theorem zero_mul_eq_zero : 0 * a = 0 := by sorry

-- a * (-b) = -(a * b)
theorem mul_neg_eq_neg_mul : a * -b = -(a * b) := by sorry

-- (-a) * b = -(a * b)
theorem neg_mul_eq_neg_mul : -a * b = -(a * b) := by sorry

-- (-a) * (-b) = a * b
theorem neg_mul_neg_eq_mul : (-a) * (-b) = a * b := by sorry

-- a * (b - c) = a * b - a * c
theorem mul_sub_eq_sub_mul : a * (b - c) = a * b - a * c := by sorry

-- (-1) * a = -a
theorem neg_one_mul_eq_neg : (-1 : R) * a = -a := by sorry
"
srdoty_alg_Z_n_671,Algebra,success,True,2,"Let $n$ be a fixed positive integer and let $a,b,c,d \in \mathbb{Z}$. Suppose that $a \equiv b \pmod{n}$ and $c \equiv d \pmod{n}$. Show that $a+c \equiv b+d \pmod{n}$.","import Mathlib

/-!
Simple statement: if a ≡ b (mod n) and c ≡ d (mod n) then a + c ≡ b + d (mod n).
We express congruence by divisibility: n ∣ a - b.
-/

theorem srdoty_alg_Z_n_671 {n : Int} (hn : 0 < n) {a b c d : Int}
  (hab : n ∣ a - b) (hcd : n ∣ c - d) : n ∣ (a + c) - (b + d) := by
  sorry
"
srdoty_alg_Z_n_511,Algebra,success,True,3,"Let $R$ be a ring and let $a,b,c\in R$. Show that $a(b-c) = ab - ac$.","import Mathlib

/-!
Simple lemma: left distributivity of multiplication over subtraction in a ring.
-/

theorem mul_left_distrib_sub {R : Type*} [Ring R] (a b c : R) : a * (b - c) = a * b - a * c := by sorry
"
srdoty_alg_Z_n_509,Algebra,success,True,4,"Let $R$ be a ring and let $a,b\in R$. Show that $(-a)(-b) = ab$.","import Mathlib

variable {R : Type _} [Ring R]

theorem neg_mul_neg (a b : R) : (-a) * (-b) = a * b := by sorry
"
srdoty_alg_Z_n_505,Algebra,success,True,3,Let $R$ be a ring and let $a\in R$. Show that $a\cdot 0 = 0 = 0\cdot a$.,"import Mathlib

/-!
Simple lemmas: in any ring, multiplication by 0 on either side gives 0.
-/-

theorem srdoty_mul_zero {R : Type _} [Ring R] (a : R) : a * 0 = 0 := by sorry

theorem srdoty_zero_mul {R : Type _} [Ring R] (a : R) : 0 * a = 0 := by sorry
"
srdoty_alg_Z_n_779,Algebra,success,True,4,"Let $n>0$ be an integer and let $a,b \in \mathbb{Z}$. Prove that $a \equiv b \pmod{n}$ if and only if $a$ and $b$ have the same remainder upon division by $n$.","import Mathlib

/-!
Let n > 0 be an integer and let a, b ∈ ℤ. Prove that a ≡ b (mod n) iff a and b have the same remainder upon division by n.
-/

theorem int_modeq_iff_same_remainder {n : Int} (hn : 0 < n) (a b : Int) : (a ≡ b [ZMOD n]) ↔ a % n = b % n := by sorry
"
srdoty_alg_Z_n_815,Algebra,success,True,2,Define a relation $\approx$ on $\mathbb{R}$ by $a \approx b$ if and only if $a-b \in \mathbb{Z}$. Prove that $\approx$ is an equivalence relation on $\mathbb{R}$.,"import Mathlib

/-- Relation a ≈ b iff a - b is an integer (viewed as a real). -/
def approx (a b : ℝ) : Prop := ∃ k : Int, (a - b) = (k : ℝ)

theorem approx_equivalence : Equivalence (approx : ℝ → ℝ → Prop) := by sorry
"
srdoty_alg_Z_n_507,Algebra,success,True,3,"Let $R$ be a ring and let $a,b\in R$. Show that $a(-b) = -(ab) = (-a)b$.","import Mathlib

/-- Let R be a ring and let a b ∈ R. Show that a(-b) = -(ab) = (-a)b. -/
theorem mul_neg_eq_neg_mul_eq_neg_mul (R : Type*) [Ring R] (a b : R) :
  a * (-b) = -(a * b) ∧ -(a * b) = (-a) * b := by sorry
"
srdoty_alg_Z_n_513,Algebra,success,True,5,Let $R$ be a ring and let $a\in R$. Show that $(-1)a = -a$.,"import Mathlib

/-- Let R be a ring and let a ∈ R. Show that (-1) * a = -a. -/
lemma neg_one_mul_eq_neg {R : Type _} [Ring R] (a : R) : (-1 : R) * a = -a := by sorry
"
srdoty_alg_Z_n_828,Algebra,success,True,4,"Let $n$ be a fixed positive integer and let $a,b,c,d\in \mathbb{Z}$ with $a \equiv b \pmod{n}$ and $c \equiv d \pmod{n}$. Prove that $a+c \equiv b+d \pmod{n}$ and $ac \equiv bd \pmod{n}$.","import Mathlib

open Int

theorem srdoty_alg_Z_n_828 (n : Int) (hn : 0 < n) {a b c d : Int}
  (hab : a ≡ b [ZMOD n]) (hcd : c ≡ d [ZMOD n]) :
  a + c ≡ b + d [ZMOD n] ∧ a * c ≡ b * d [ZMOD n] := by sorry
"
srdoty_alg_Z_n_673,Algebra,success,True,5,"Let $n$ be a fixed positive integer and let $a,b,c,d \in \mathbb{Z}$. Suppose that $a \equiv b \pmod{n}$ and $c \equiv d \pmod{n}$. Show that $ac \equiv bd \pmod{n}$.","import Mathlib

/-!
Let n be a fixed positive integer and let a,b,c,d ∈ ℤ.
Suppose that a ≡ b [ZMOD n] and c ≡ d [ZMOD n].
Show that ac ≡ bd [ZMOD n].
-/

theorem int_modeq_mul {n : ℤ} (hn : 0 < n) (a b c d : ℤ)
  (hab : a ≡ b [ZMOD n]) (hcd : c ≡ d [ZMOD n]) :
  a * c ≡ b * d [ZMOD n] := by sorry
"
srdoty_alg_Z_n_607,Algebra,success,True,6,"Let $n$ be a fixed positive integer and let $a,b,c\in \mathbb{Z}$. Show that if $a \equiv b \pmod{n}$ and $b \equiv c \pmod{n}$, then $a \equiv c \pmod{n}$.","import Mathlib

/-- Let n be a fixed positive integer and let a, b, c be integers. If a ≡ b (mod n)
    and b ≡ c (mod n), then a ≡ c (mod n). -/
theorem modeq_trans {n : ℕ} {a b c : ℤ} (hn : 0 < n) (h1 : a ≡ b [ZMOD n]) (h2 : b ≡ c [ZMOD n]) : a ≡ c [ZMOD n] := by sorry
"
srdoty_alg_Z_n_1021,Algebra,success,True,4,Let $n>1$ be an integer. Prove that the linear congruence $ax \equiv b \pmod{n}$ has a solution in $\mathbb{Z}_n$ whenever the class $[a] \in \mathbb{Z}_n$ is a unit.,"import Mathlib

/--
Let n > 1 be an integer. If the class `a : ZMod n` is a unit, then the linear congruence
`a * x = b` has a solution in `ZMod n` (take `x = a⁻¹ * b`).
-/
theorem linear_congruence_solvable_of_unit {n : ℕ} (hn : n > 1) {a b : ZMod n} (ha : IsUnit a) :
  ∃ x : ZMod n, a * x = b := by sorry
"
srdoty_alg_Z_n_970,Algebra,success,True,5,Prove that a commutative ring $R$ is a field if and only if $R^{\times} = R\setminus\{0\}$.,"import Mathlib

open Set

theorem field_iff_units_eq_nonzero {R : Type*} [CommRing R] : Field R ↔ Set.range (coe : Rˣ → R) = {x : R | x ≠ 0} := by sorry
"
