name,domain,status,passed,steps,nl_statement,lean4_code
srdoty_alg_Z_n_511,Algebra,success,True,3,"Let $R$ be a ring and let $a,b,c\in R$. Show that $a(b-c) = ab - ac$.","import Mathlib

/-!
Simple lemma: in any ring, multiplication distributes over subtraction on the left.
-/

theorem mul_sub_in_ring {R : Type*} [Ring R] (a b c : R) : a * (b - c) = a * b - a * c := by sorry
"
srdoty_alg_Z_n_505,Algebra,success,True,3,Let $R$ be a ring and let $a\in R$. Show that $a\cdot 0 = 0 = 0\cdot a$.,"import Mathlib

/-- In any ring R, multiplying any element by 0 yields 0. -/
theorem srdoty_mul_zero {R : Type _} [Ring R] (a : R) : a * 0 = 0 := by sorry

/-- In any ring R, 0 multiplied by any element yields 0. -/
theorem srdoty_zero_mul {R : Type _} [Ring R] (a : R) : 0 * a = 0 := by sorry
"
srdoty_alg_Z_n_513,Algebra,success,True,4,Let $R$ be a ring and let $a\in R$. Show that $(-1)a = -a$.,"import Mathlib
open Function

/-- Let R be a ring and let a∈R. Show that (-1)a = -a. -/
theorem neg_one_mul_extracted [MulOneClass R] [HasDistribNeg R] (a : R) : -1 * a = -a := by sorry
"
srdoty_alg_Z_n_671,Algebra,success,True,4,"Let $n$ be a fixed positive integer and let $a,b,c,d \in \mathbb{Z}$. Suppose that $a \equiv b \pmod{n}$ and $c \equiv d \pmod{n}$. Show that $a+c \equiv b+d \pmod{n}$.","import Mathlib

/-!
Simple lemma: if a ≡ b (mod n) and c ≡ d (mod n) then a + c ≡ b + d (mod n).
We assume n > 0 as in the problem statement.
-/

theorem int_add_mod_eq {n : Int} (hn : 0 < n) {a b c d : Int}
  (h1 : Int.ModEq n a b) (h2 : Int.ModEq n c d) : Int.ModEq n (a + c) (b + d) := by sorry
"
srdoty_alg_Z_n_509,Algebra,success,True,6,"Let $R$ be a ring and let $a,b\in R$. Show that $(-a)(-b) = ab$.","import Mathlib

theorem srdoty_neg_mul_neg {R : Type _} [Ring R] (a b : R) : (-a) * (-b) = a * b := by sorry
"
srdoty_alg_Z_n_607,Algebra,success,True,5,"Let $n$ be a fixed positive integer and let $a,b,c\in \mathbb{Z}$. Show that if $a \equiv b \pmod{n}$ and $b \equiv c \pmod{n}$, then $a \equiv c \pmod{n}$.","import Mathlib

/-- Let n be a fixed positive integer and let a,b,c ∈ ℤ.
    If a ≡ b (mod n) and b ≡ c (mod n), then a ≡ c (mod n). -/
theorem srdoty_alg_Z_n_607 (n : ℤ) (n_pos : 0 < n) (a b c : ℤ)
  (hab : a ≡ b [ZMOD n]) (hbc : b ≡ c [ZMOD n]) : a ≡ c [ZMOD n] := by sorry
"
srdoty_alg_Z_n_782,Algebra,success,True,5,"Let $R$ be a ring and let $a,b,c \in R$. Prove each of the following: $a \cdot 0 = 0 = 0 \cdot a$, $a(-b) = -(ab) = (-a)b$, $(-a)(-b) = ab$, $a(b-c) = ab - ac$, and $(-1)a = -a$.","import Mathlib

variable {R : Type _} [Ring R]

theorem srdoty_mul_zero (a : R) : a * 0 = 0 := by sorry

theorem srdoty_zero_mul (a : R) : 0 * a = 0 := by sorry

theorem srdoty_mul_neg (a b : R) : a * -b = -(a * b) := by sorry

theorem srdoty_neg_mul (a b : R) : -a * b = -(a * b) := by sorry

theorem srdoty_neg_mul_neg (a b : R) : -a * -b = a * b := by sorry

theorem srdoty_mul_sub (a b c : R) : a * (b - c) = a * b - a * c := by sorry

theorem srdoty_neg_one_mul (a : R) : (-1 : R) * a = -a := by sorry
"
srdoty_alg_Z_n_673,Algebra,success,True,6,"Let $n$ be a fixed positive integer and let $a,b,c,d \in \mathbb{Z}$. Suppose that $a \equiv b \pmod{n}$ and $c \equiv d \pmod{n}$. Show that $ac \equiv bd \pmod{n}$.","import Mathlib

/--
Let n be a fixed positive integer and let a,b,c,d ∈ ℤ. Suppose that a ≡ b (mod n) and c ≡ d (mod n).
Show that ac ≡ bd (mod n).
-/
theorem srdoty_alg_Z_n_673 (n : ℤ) (hn : 0 < n) {a b c d : ℤ}
  (h1 : a ≡ b [ZMOD n]) (h2 : c ≡ d [ZMOD n]) : a * c ≡ b * d [ZMOD n] := by sorry
"
srdoty_alg_Z_n_828,Algebra,success,True,4,"Let $n$ be a fixed positive integer and let $a,b,c,d\in \mathbb{Z}$ with $a \equiv b \pmod{n}$ and $c \equiv d \pmod{n}$. Prove that $a+c \equiv b+d \pmod{n}$ and $ac \equiv bd \pmod{n}$.","import Mathlib

theorem srdoty_alg_Z_n_828 (n : ℤ) (hn : 0 < n) (a b c d : ℤ)
  (hab : Int.ModEq n a b) (hcd : Int.ModEq n c d) :
  Int.ModEq n (a + c) (b + d) ∧ Int.ModEq n (a * c) (b * d) := by
  sorry
"
srdoty_alg_Z_n_815,Algebra,success,True,4,Define a relation $\approx$ on $\mathbb{R}$ by $a \approx b$ if and only if $a-b \in \mathbb{Z}$. Prove that $\approx$ is an equivalence relation on $\mathbb{R}$.,"import Mathlib

/-- Define the relation `approx` on the real numbers: `a ≈ b` iff `a - b` is an integer. -/
def approx (a b : ℝ) : Prop := ∃ k : Int, a - b = k

/-- The relation `approx` is an equivalence relation on `ℝ`. -/
theorem approx_equivalence : Equivalence approx := by sorry
"
