name,domain,status,passed,steps,nl_statement,lean4_code
Rudin_exercise_1_14,Analysis,success,True,3,"If $z$ is a complex number such that $|z|=1$, that is, such that $z \bar{z}=1$, compute $|1+z|^{2}+|1-z|^{2}$.","import Mathlib

/-- If $z$ is a complex number such that $|z|=1$, that is, such that $z \bar{z}=1$, compute $|1+z|^{2}+|1-z|^{2}$. -/
theorem rudin_exercise_1_14 (z : ℂ) (hz : ‖z‖ = 1) : ‖(1 + z)‖^2 + ‖(1 - z)‖^2 = 4 := by sorry
"
Rudin_exercise_1_12,Analysis,success,True,3,"If $z_1, \ldots, z_n$ are complex, prove that $|z_1 + z_2 + \ldots + z_n| \leq |z_1| + |z_2| + \cdots + |z_n|$.","import Mathlib
open ComplexConjugate Topology Filter

/-- If $z_1, \ldots, z_n$ are complex, prove that $|z_1 + z_2 + \ldots + z_n| \leq |z_1| + |z_2| + \cdots + |z_n|$. -/
theorem abs_sum_le_sum_abs (n : ℕ) (z : Fin n → ℂ) : 
  Complex.abs (∑ i, z i) ≤ ∑ i, Complex.abs (z i) := by sorry
"
Rudin_exercise_1_8,Analysis,success,True,3,Prove that no order can be defined in the complex field that turns it into an ordered field.,"import Mathlib


/-- Prove that no order can be defined in the complex field that turns it into an ordered field.
Save it to: Rudin_exercise_1_8.lean -/
theorem impossible_ordered_field : ¬∃ o : Ordering, IsOrderedField ℂ o := by sorry
"
Rudin_exercise_1_1b,Analysis,success,True,3,"If $r$ is rational $(r \neq 0)$ and $x$ is irrational, prove that $rx$ is irrational.","import Mathlib

/-- Rudin exercise 1.1(b): If r is rational (r ≠ 0) and x is irrational, then r * x is irrational. -/
theorem Rudin_exercise_1_1b (r : ℚ) (x : ℝ) (hr : r ≠ 0) (hx : Irrational x) : Irrational ((r : ℝ) * x) := by sorry
"
Rudin_exercise_1_4,Analysis,success,True,3,Let $E$ be a nonempty subset of an ordered set; suppose $\alpha$ is a lower bound of $E$ and $\beta$ is an upper bound of $E$. Prove that $\alpha \leq \beta$.,"import Mathlib

/-- Rudin, Principles of Mathematical Analysis, Exercise 1.4: If E is a nonempty subset of an ordered
set, a is a lower bound of E and b is an upper bound of E, then a ≤ b. -/
theorem Rudin_exercise_1_4 {α : Type _} [Preorder α] {E : Set α} (hne : ∃ x, x ∈ E) {a b : α}
  (ha : ∀ x ∈ E, a ≤ x) (hb : ∀ x ∈ E, x ≤ b) : a ≤ b := by sorry
"
Rudin_exercise_1_17,Analysis,success,True,3,Prove that $|\mathbf{x}+\mathbf{y}|^{2}+|\mathbf{x}-\mathbf{y}|^{2}=2|\mathbf{x}|^{2}+2|\mathbf{y}|^{2}$ if $\mathbf{x} \in R^{k}$ and $\mathbf{y} \in R^{k}$.,"import Mathlib

/-!
Rudin, Principles of Mathematical Analysis, Exercise 1.17:
For x, y ∈ ℝ^k show

  ‖x + y‖^2 + ‖x - y‖^2 = 2‖x‖^2 + 2‖y‖^2.
-/-

theorem Rudin_exercise_1_17 (k : ℕ) (x y : Fin k → ℝ) :
  ‖x + y‖ ^ 2 + ‖x - y‖ ^ 2 = 2 * ‖x‖ ^ 2 + 2 * ‖y‖ ^ 2 := by sorry
"
Rudin_exercise_2_19a,Analysis,success,True,3,"If $A$ and $B$ are disjoint closed sets in some metric space $X$, prove that they are separated.","import Mathlib
open Set Filter Topology

/-- If $A$ and $B$ are disjoint closed sets in some metric space $X$, prove that they are separated. -/
theorem separated_of_disjoint_closed {X : Type*} [MetricSpace X] {A B : Set X} (hA : IsClosed A) (hB : IsClosed B) (h : Disjoint A B) : Separated A B := by sorry
"
Rudin_exercise_1_18b,Analysis,success,True,3,"If $k = 1$ and $\mathbf{x} \in R^{k}$, prove that there does not exist $\mathbf{y} \in R^{k}$ such that $\mathbf{y} \neq 0$ but $\mathbf{x} \cdot \mathbf{y}=0$","import Mathlib

/-- Rudin Ex. 1.18(b) (k = 1 case).

We identify ℝ^1 with ℝ, and the dot product with multiplication. The correct statement
requires x ≠ 0: if x ≠ 0 then there is no nonzero y with x * y = 0. -/
theorem Rudin_exercise_1_18b (x : ℝ) (hx : x ≠ 0) : ¬∃ y : ℝ, y ≠ 0 ∧ x * y = 0 := by sorry
"
Rudin_exercise_2_25,Analysis,success,True,3,Prove that every compact metric space $K$ has a countable base.,"import Mathlib

/-- Every compact metric space has a countable base (is second countable). -/
theorem compact_metric_space_second_countable {α : Type*} [MetricSpace α] [CompactSpace α] :
  SecondCountableTopology α := by sorry
"
Rudin_exercise_3_2a,Analysis,success,True,3,Prove that $\lim_{n \rightarrow \infty}\sqrt{n^2 + n} -n = 1/2$.,"import Mathlib

open Filter
open Topology

theorem Rudin_exercise_3_2a :
  Tendsto (fun n : ℕ => Real.sqrt ((n : ℝ) ^ 2 + (n : ℝ)) - (n : ℝ)) atTop (nhds (1 / 2 : ℝ)) := by sorry
"
Rudin_exercise_3_7,Analysis,success,True,3,Prove that the convergence of $\Sigma a_{n}$ implies the convergence of $\sum \frac{\sqrt{a_{n}}}{n}$ if $a_n\geq 0$.,"import Mathlib

/-- Rudin, Exercise 3.7: If (a_n) is a sequence of nonnegative real numbers with Σ a_n convergent,
then Σ sqrt(a_n)/(n+1) converges. We state the result here; the proof is omitted. -/
theorem Rudin_exercise_3_7 {a : ℕ → ℝ} (h_nonneg : ∀ n, 0 ≤ a n) (h_sum : Summable a) :
  Summable fun n => Real.sqrt (a n) / ((n + 1 : ℕ) : ℝ) := by sorry
"
Rudin_exercise_3_13,Analysis,success,True,3,Prove that the Cauchy product of two absolutely convergent series converges absolutely.,"import Mathlib

/-- Rudin, Exercise 3.13 (Cauchy product of absolutely convergent series).
If (a_n) and (b_n) are real sequences with absolutely convergent series,
then the Cauchy product c_k := ∑_{i=0}^k a_i * b_{k-i} is absolutely summable. -/
theorem Rudin_exercise_3_13 {a b : ℕ → ℝ}
  (ha : Summable fun n => |a n|)
  (hb : Summable fun n => |b n|) :
  Summable fun k => |∑ i in Finset.range (k+1), a i * b (k - i)| := by sorry
"
Rudin_exercise_2_27b,Analysis,success,True,3,"Suppose $E\subset\mathbb{R}^k$ is uncountable, and let $P$ be the set of condensation points of $E$. Prove that at most countably many points of $E$ are not in $P$.","import Mathlib

open Set Filter

variable {k : ℕ}

/-- A point x is a condensation point of E if every neighborhood of x meets E in an uncountable set. -/
def isCondensationPoint (E : Set (Fin k → ℝ)) (x : Fin k → ℝ) : Prop :=
  ∀ U, U ∈ nhds x → ¬ (E ∩ U).Countable

/-- Rudin, exercise 2.27(b): Suppose E ⊆ ℝ^k is uncountable, and let P be the set of condensation
points of E. Prove that at most countably many points of E are not in P. -/
theorem Rudin_exercise_2_27b (E : Set (Fin k → ℝ)) (hE : ¬ E.Countable) :
  (E \ {x | isCondensationPoint E x}).Countable := by
  sorry
"
