name,domain,status,passed,steps,nl_statement,lean4_code,validate_score,validate_reason,equivalent
srdoty_alg_Z_n_511,Algebra,success,True,2,"Let $R$ be a ring and let $a,b,c\in R$. Show that $a(b-c) = ab - ac$.","import Mathlib

theorem mul_sub_left {R : Type} [Ring R] (a b c : R) : a * (b - c) = a * b - a * c := by
  sorry
",10,"### BEGIN THOUGHT
1) Line-by-line translation:
- `import Mathlib`: Load Mathlib.
- `theorem mul_sub_left {R : Type} [Ring R] (a b c : R) : a * (b - c) = a * b - a * c := by sorry` translates to: For any type R equipped with a ring structure, and for any elements a, b, c in R, we have the identity a*(b - c) = a*b - a*c. The proof is omitted (`sorry`) but the statement is clear and standard.

2) Faithfulness to the natural language statement:
- Natural language: ""Let R be a ring and let a,b,c ∈ R. Show that a(b−c) = ab − ac.""
- Lean theorem states exactly this property, universally quantified. No extra or missing hypotheses. It works for noncommutative rings too, which is consistent with the usual statement.

3) Final check:
- The two statements are the same. There are no auxiliary/vacuous definitions. The presence of `sorry` only omits the proof but does not affect the fidelity of the formal statement to the original.
### END THOUGHT",1
srdoty_alg_Z_n_509,Algebra,success,True,2,"Let $R$ be a ring and let $a,b\in R$. Show that $(-a)(-b) = ab$.","import Mathlib

-- Translation of the statement: in a ring R, for a,b in R we have (-a) * (-b) = a * b.
theorem neg_mul_neg_in_R (R : Type*) [Ring R] (a b : R) : (-a) * (-b) = a * b := by sorry
",10,"### BEGIN THOUGHT
1. Line-by-line translation:
- `import Mathlib`: Brings in Mathlib, standard library for mathematics in Lean.
- `theorem neg_mul_neg_in_R (R : Type*) [Ring R] (a b : R) : (-a) * (-b) = a * b := by sorry`
  Interpreted: For any type R with a ring structure, and any elements a, b in R, the product of the negatives equals the product: (−a) * (−b) = a * b. The `by sorry` indicates the proof is omitted, but the statement is well-formed.

2. Faithfulness to the natural language statement:
- The natural language says: Let R be a ring and let a, b ∈ R. Show that (−a)(−b) = ab.
- The Lean theorem exactly states this: over a ring `R`, for `a b : R`, we have `(-a) * (-b) = a * b`.
- The use of `*` corresponds to juxtaposition in the natural language (`ab`). Parentheses match. No extra assumptions (e.g., commutativity) are imposed, which aligns with the general ring case.

3. Final check:
- The mathematical content is identical. No auxiliary or vacuous definitions are introduced. The only placeholder is the proof (`sorry`), which is acceptable for checking translation faithfulness.

Conclusion: The Lean statement is a faithful translation of the natural language statement.
### END THOUGHT",1
srdoty_alg_Z_n_507,Algebra,success,True,2,"Let $R$ be a ring and let $a,b\in R$. Show that $a(-b) = -(ab) = (-a)b$.","import Mathlib

theorem srdoty_alg_Z_n_507 (R : Type) [Ring R] (a b : R) :
  a * (-b) = -(a * b) ∧ (-a) * b = -(a * b) := by
  sorry
",10,"### BEGIN THOUGHT
1) Line-by-line translation:
- `import Mathlib`: imports the math library; no effect on the statement content.
- `theorem srdoty_alg_Z_n_507 (R : Type) [Ring R] (a b : R) : a * (-b) = -(a * b) ∧ (-a) * b = -(a * b) := by sorry`
  This declares a theorem for any type R with a ring structure and elements a, b in R. The statement asserts two equalities: (i) a * (-b) = -(a * b) and (ii) (-a) * b = -(a * b). The proof is omitted (sorry), which is acceptable per the instructions.

2) Faithfulness to the natural language statement:
The natural language states: For a ring R and a, b in R, show that a(-b) = -(ab) = (-a)b. This is exactly the conjunction of the two equalities a(-b) = -(ab) and (-a)b = -(ab). The Lean statement matches these exactly, using conjunction to package both equalities.

3) Final check for differences:
- No extraneous hypotheses are added; [Ring R] is appropriate and does not over-assume commutativity.
- Parentheses and negation are placed correctly.
- While the chain equality also implies a(-b) = (-a)b, representing it as two equalities to the common value is equivalent and faithful.
There are no auxiliary/vacuous definitions. The translation is faithful.
### END THOUGHT",1
srdoty_alg_Z_n_505,Algebra,success,True,2,Let $R$ be a ring and let $a\in R$. Show that $a\cdot 0 = 0 = 0\cdot a$.,"import Mathlib

 theorem mul_zero_and_zero_mul (R : Type) [Ring R] (a : R) : a * (0 : R) = 0 ∧ (0 : R) * a = 0 := by
  sorry
",10,"### BEGIN THOUGHT
1) Line-by-line translation:
- `import Mathlib`: Imports the Mathlib library.
- `theorem mul_zero_and_zero_mul (R : Type) [Ring R] (a : R) : a * (0 : R) = 0 ∧ (0 : R) * a = 0 := by sorry`
  This declares a theorem: For any type R equipped with a Ring structure, and any element a in R, we have both a * 0 = 0 and 0 * a = 0. The proof is omitted (`sorry`), which is acceptable per the instructions (we only assess the statement).

2) Faithfulness assessment:
The natural language statement says: Let R be a ring and a ∈ R. Show that a·0 = 0 = 0·a. This is exactly the conjunction of two equalities: a * 0 = 0 and 0 * a = 0. The Lean statement encodes precisely this as a conjunction `a * 0 = 0 ∧ (0 : R) * a = 0`. The typeclass `[Ring R]` matches “R is a ring,” and `a : R` matches “a ∈ R.”

3) Final check for differences:
- No auxiliary/vacuous definitions are introduced.
- The theorem’s statement is a direct and faithful formalization of the natural language claim.
- Using a conjunction instead of a chained equality is standard and equivalent.
Thus, the translation is faithful.
### END THOUGHT",1
srdoty_alg_Z_n_513,Algebra,success,True,4,Let $R$ be a ring and let $a\in R$. Show that $(-1)a = -a$.,"import Mathlib

 theorem srdoty_alg_neg_one_mul (R : Type) [Ring R] (a : R) : (-1) * a = -a := by
  sorry
",10,"### BEGIN THOUGHT
1. Line-by-line translation:
- `import Mathlib`: Imports the Mathlib library; no mathematical content.
- `theorem srdoty_alg_neg_one_mul (R : Type) [Ring R] (a : R) : (-1) * a = -a := by sorry`: This declares a theorem for an arbitrary type `R` with a ring structure `[Ring R]` and an element `a : R`, asserting the equality `(-1) * a = -a`. The proof is omitted (`sorry`), but we only care about the statement for translation fidelity.

2. Assessment of faithfulness:
- The natural language statement is: Let R be a ring and a ∈ R. Show that (−1)a = −a.
- The Lean statement exactly matches: for any ring `R` and any `a : R`, `(-1) * a = -a`.
- No auxiliary or vacuous definitions are introduced. The typeclass `[Ring R]` matches the usual (not necessarily commutative) ring, which is consistent with the natural language.

3. Final check:
- The two statements are the same mathematically. There are no discrepancies in quantifiers, structures, or sides of multiplication (left multiplication by −1 is standard and sufficient in a ring). Thus, the translation is faithful.
### END THOUGHT",1
jirilebl_ca_ca_1326,Complex Analysis,success,True,2,"Use $e^{z+w} = e^z e^w$ and $e^0 = 1 \not= 0$ to show that $e^z \not=0$ for all $z \in \mathbb{C}$. In other words, show that if a function $f$ satisfies $f(z+w)=f(z)f(w)$ and $f(0) = 1$, then $f(z) \not= 0$ for all $z$.","import Mathlib

-- Translation of the mathematical statement:
-- If f: Complex → Complex satisfies f(z + w) = f(z) * f(w) for all z,w and f(0) = 1,
-- then f(z) ≠ 0 for all z.

theorem nonzero_of_multiplicative_add (f : ℂ → ℂ)
  (hadd : ∀ z w, f (z + w) = f z * f w)
  (h0 : f 0 = 1) : ∀ z, f z ≠ 0 := by
  sorry
",10,"### BEGIN THOUGHT
1) Line-by-line translation:
- `import Mathlib`: Load Mathlib.
- Comment explains the intended translation: If f: ℂ → ℂ satisfies f(z + w) = f(z) * f(w) for all z, w and f(0) = 1, then f(z) ≠ 0 for all z.
- `theorem nonzero_of_multiplicative_add (f : ℂ → ℂ) (hadd : ∀ z w, f (z + w) = f z * f w) (h0 : f 0 = 1) : ∀ z, f z ≠ 0 := by sorry`
  This declares a theorem: for any function f: ℂ → ℂ, if (i) for all complex z, w we have f(z + w) = f(z) f(w), and (ii) f(0) = 1, then (iii) for all z, f(z) ≠ 0. The proof is omitted (`sorry`), but the statement is precise.

2) Faithfulness to the natural language statement:
The natural language first states: use e^{z+w} = e^z e^w and e^0 = 1 ≠ 0 to show e^z ≠ 0 for all z ∈ ℂ. Then it says: In other words, show that if a function f satisfies f(z+w) = f(z) f(w) and f(0) = 1, then f(z) ≠ 0 for all z. The Lean theorem exactly formalizes this general statement over ℂ with no extra or missing hypotheses.

3) Final check for differences:
- Domain/codomain: Complex to Complex, matches.
- Hypotheses: multiplicativity under addition and value at 0 equals 1, matches.
- Conclusion: f(z) is never zero, matches.
- No extraneous assumptions (e.g., continuity) are added.
- The code captures the general ""In other words"" formulation explicitly present in the natural language. This general statement immediately applies to the exponential function e^z since it satisfies the hypotheses.

No discrepancies found; the translation is faithful.
### END THOUGHT",1
srdoty_alg_linear-gps_836,Algebra,success,True,11,"Let $F$ be a field and $E(t)=\begin{bmatrix}1&t\\0&1\end{bmatrix}$ for $t\in F$. Show that $E(s)E(t)=E(s+t)$ for all $s,t\in F$.","import Mathlib

universe u

variable (F : Type u) [Field F]

def E : F → Matrix (Fin 2) (Fin 2) F := fun t => ![![((1 : F)), t], ![((0 : F)), (1 : F)]]

lemma E_mul (s t : F) : E s * E t = E (s + t) := by
  sorry
",10,"### BEGIN THOUGHT
1) Line-by-line translation:
- `import Mathlib`: Uses Mathlib, giving access to matrices and fields.
- `universe u`: Universe level declaration.
- `variable (F : Type u) [Field F]`: Introduces a type F with a field structure.
- `def E : F → Matrix (Fin 2) (Fin 2) F := fun t => ![![((1 : F)), t], ![((0 : F)), (1 : F)]]`: Defines E(t) as the 2×2 matrix over F with entries [[1, t], [0, 1]]. The indexing `Fin 2` ensures it is a 2×2 matrix; the row vector notation means first row [1, t], second row [0, 1].
- `lemma E_mul (s t : F) : E s * E t = E (s + t) := by sorry`: States that for all s,t in F, the product of matrices E(s) and E(t) equals E(s + t). Proof omitted with `sorry`.

2) Faithfulness to the natural language statement:
The natural language statement: For a field F and E(t) = [[1, t], [0, 1]], show E(s)E(t) = E(s + t) for all s, t in F. The Lean code defines exactly that E and states the lemma with the same content. Matrix dimensions and entries align with the given definition. The quantification over all s, t : F is explicit in the lemma arguments.

3) Final check:
- No vacuous or placeholder definitions: E is fully and correctly defined.
- The lemma’s statement matches the mathematical claim precisely. The presence of `sorry` affects only the proof, which is allowed per the instructions since we only check translation faithfulness.
- No extraneous assumptions or changes of generality are introduced.

Conclusion: The code is a faithful translation of the statement.
### END THOUGHT",1
srdoty_alg_linear-gps_582,Algebra,success,True,6,"For each $\theta\in\mathbb{R}$, the reflection of $\mathbb{R}^2$ across the line through the origin making angle $\theta$ with the $x$-axis is a linear operator, and its matrix $H_\theta$ is an improper orthogonal matrix (i.e., $H_\theta\in \mathrm{O}(2)$ and $\det H_\theta=-1$).","import Mathlib

noncomputable def H_theta (theta : Real) : Matrix (Fin 2) (Fin 2) Real :=
  fun i j =>
    match i, j with
    | ⟨0, _⟩, ⟨0, _⟩ => Real.cos (2 * theta)
    | ⟨0, _⟩, ⟨1, _⟩ => Real.sin (2 * theta)
    | ⟨1, _⟩, ⟨0, _⟩ => Real.sin (2 * theta)
    | ⟨1, _⟩, ⟨1, _⟩ => - Real.cos (2 * theta)

def improper_orthogonal (M : Matrix (Fin 2) (Fin 2) Real) : Prop :=
  Mᵀ ⬝ M = 1 ∧ Matrix.det M = -1

-- The reflection across the line at angle θ is a linear operator on R^2,
-- and its matrix H_theta is an improper orthogonal matrix.
theorem reflection_is_improper_orthogonal (theta : Real) : improper_orthogonal (H_theta theta) := by
  sorry
",9,"### BEGIN THOUGHT
1) Line-by-line translation of the Lean code:
- `noncomputable def H_theta (theta : Real) : Matrix (Fin 2) (Fin 2) Real := ...` defines, for each real θ, a specific 2×2 real matrix
  H_θ = [[cos(2θ), sin(2θ)], [sin(2θ), -cos(2θ)]].
- `def improper_orthogonal (M : Matrix (Fin 2) (Fin 2) Real) : Prop := Mᵀ ⬝ M = 1 ∧ Matrix.det M = -1` defines the property of being an improper orthogonal matrix (orthogonal and determinant −1).
- `theorem reflection_is_improper_orthogonal (theta : Real) : improper_orthogonal (H_theta theta) := by sorry` states that for every θ, H_θ is improper orthogonal. The proof is omitted with `sorry`.

2) Assessing faithfulness to the natural language statement:
- The natural language statement has two parts:
  (i) The reflection across the line through the origin making angle θ with the x-axis is a linear operator on R^2.
  (ii) Its matrix H_θ is an improper orthogonal matrix (i.e., H_θ ∈ O(2) and det H_θ = −1).
- The code explicitly defines a matrix H_θ with the standard reflection formula [[cos(2θ), sin(2θ)], [sin(2θ), −cos(2θ)]], and it states that H_θ is improper orthogonal. This matches part (ii) of the statement.
- However, the code does not formalize the reflection as a linear map nor does it assert its linearity. It also does not explicitly connect H_θ as “the matrix of the reflection” (even though the chosen formula corresponds to that reflection in the standard basis). This leaves part (i) of the statement unstated.

3) Final comparison and differences:
- Matching parts: The definition of H_θ and the claim that H_θ is improper orthogonal align with the second part of the statement (orthogonality and determinant −1). Using MᵀM = I is the standard characterization of membership in O(2).
- Differences/omissions:
  - The code does not state or prove that the reflection is a linear operator (no LinearMap or linearity assertion).
  - The code does not formally identify H_θ as “the matrix of the reflection,” though its formula matches the reflection across the specified line.

Conclusion: The translation captures the orthogonality/determinant part but omits the explicit linearity claim and the explicit link that H_θ is the matrix of the reflection. Hence it is almost faithful but not fully so.
### END THOUGHT",0
srdoty_alg_linear-gps_713,Algebra,success,True,10,"Show that the product of any two reflection matrices in $\mathrm{O}(2)$ is a rotation matrix (i.e., an element of $\mathrm{SO}(2)$).","import Mathlib

-- 2x2 real matrices as a convenient alias
 def mat2 := Matrix (Fin 2) (Fin 2) ℝ

/-- A reflection in O(2): orthogonal and determinant -1. -/
 def IsReflection (A : mat2) : Prop :=
   (A ⬝ Aᵀ = (1 : mat2)) ∧ Matrix.det A = -1

/-- A rotation in SO(2): orthogonal and determinant 1. -/
 def IsRotation (A : mat2) : Prop :=
   (A ⬝ Aᵀ = (1 : mat2)) ∧ Matrix.det A = 1

/-- The product of two reflections is a rotation. -/
 theorem product_of_two_reflections_in_O2_is_SO2
   (A B : mat2)
   (hA : IsReflection A)
   (hB : IsReflection B) :
   IsRotation (A ⬝ B) := by
  sorry
",10,"### BEGIN THOUGHT
1) Line-by-line translation:
- `def mat2 := Matrix (Fin 2) (Fin 2) ℝ`: We work with 2×2 real matrices.
- `def IsReflection (A : mat2) : Prop := (A ⬝ Aᵀ = (1 : mat2)) ∧ Matrix.det A = -1`: A is called a reflection if it is orthogonal (A times its transpose equals the identity) and has determinant −1. This matches the notion of a reflection in O(2) (orthogonal with det −1 in dimension 2).
- `def IsRotation (A : mat2) : Prop := (A ⬝ Aᵀ = (1 : mat2)) ∧ Matrix.det A = 1`: A is called a rotation if it is orthogonal and has determinant 1, i.e., an element of SO(2).
- The theorem `product_of_two_reflections_in_O2_is_SO2 (A B : mat2) (hA : IsReflection A) (hB : IsReflection B) : IsRotation (A ⬝ B)` states: Given two 2×2 real matrices A and B that are reflections (orthogonal with det −1), their product AB is a rotation (orthogonal with det 1). The proof is omitted (`sorry`), but the statement is clear and precise.

2) Faithfulness to the original statement:
- The natural language statement: ""Show that the product of any two reflection matrices in O(2) is a rotation matrix (i.e., an element of SO(2))."" The Lean statement precisely encodes this: reflections are defined as orthogonal with determinant −1; rotations as orthogonal with determinant 1; and the theorem asserts that the product of any two reflections is a rotation. The dimension is fixed to 2, and the field is ℝ, as intended. The orthogonality condition uses A Aᵀ = I rather than Aᵀ A = I, but these are equivalent over ℝ and suffice to show AB is orthogonal via (AB)(AB)ᵀ = A(BBᵀ)Aᵀ = AIAᵀ = AAᵀ = I.

3) Final check for differences:
- No extraneous or vacuous definitions; all notions are standard and correct.
- No scope mismatch: both refer to 2×2 real orthogonal matrices.
- The conclusion matches exactly: AB ∈ SO(2).
- No additional assumptions or restrictions are introduced.
Conclusion: This is a faithful formalization of the given statement.
### END THOUGHT",1
jirilebl_ca_ca_997,Complex Analysis,success,True,6,"Prove that if the $2 \times 2$ matrix $M$ represents a complex number $a+ib$, then $M$ has two eigenvalues: $a \pm i b$ with the corresponding eigenvectors $\left[ \begin{smallmatrix} 1 \\ \mp i \end{smallmatrix} \right]$.","import Mathlib

-- Matrix representing a + i b as a 2x2 real matrix, then viewed over ℂ
def M_complex (a b : ℝ) : Matrix (Fin 2) (Fin 2) ℂ :=
  ![![Complex.ofReal a, -(Complex.ofReal b)], ![Complex.ofReal b, Complex.ofReal a]]

def vec_plus : Fin 2 → ℂ := ![(1 : ℂ), - Complex.I]
def vec_minus : Fin 2 → ℂ := ![(1 : ℂ), Complex.I]

/-- Translation of the statement: the complexified matrix has eigenpairs for a ± i b with eigenvectors vec_plus and vec_minus -/
theorem two_eigenpairs_complex_repr (a b : ℝ) :
  ∃ v_plus : Fin 2 → ℂ, v_plus ≠ 0 ∧ (M_complex a b).mulVec v_plus = ((a : ℂ) + Complex.I * (b : ℂ)) • v_plus ∧
  ∃ v_minus : Fin 2 → ℂ, v_minus ≠ 0 ∧ (M_complex a b).mulVec v_minus = ((a : ℂ) - Complex.I * (b : ℂ)) • v_minus ∧
  v_plus = vec_plus ∧ v_minus = vec_minus := by
  sorry
",10,"### BEGIN THOUGHT
Step 1: Translate the Lean code line by line.
- import Mathlib: Using Mathlib standard library; fine.
- def M_complex (a b : ℝ) : Matrix (Fin 2) (Fin 2) ℂ := ![![Complex.ofReal a, -(Complex.ofReal b)], ![Complex.ofReal b, Complex.ofReal a]]
  This defines the 2×2 matrix over ℂ corresponding to the real 2×2 representation of the complex number a + i b: [[a, -b], [b, a]], with entries lifted to ℂ via Complex.ofReal. This is exactly the standard real-matrix representation of a+ib, but viewed as a ℂ-matrix.
- def vec_plus : Fin 2 → ℂ := ![(1 : ℂ), - Complex.I]
  Defines the vector (1, -i)ᵗ.
- def vec_minus : Fin 2 → ℂ := ![(1 : ℂ), Complex.I]
  Defines the vector (1, i)ᵗ.
- theorem two_eigenpairs_complex_repr (a b : ℝ) : ∃ v_plus, v_plus ≠ 0 ∧ (M_complex a b).mulVec v_plus = ((a : ℂ) + Complex.I * (b : ℂ)) • v_plus ∧ ∃ v_minus, v_minus ≠ 0 ∧ (M_complex a b).mulVec v_minus = ((a : ℂ) - Complex.I * (b : ℂ)) • v_minus ∧ v_plus = vec_plus ∧ v_minus = vec_minus := by sorry
  This asserts there exist two nonzero vectors v_plus and v_minus such that v_plus is an eigenvector of M_complex(a,b) with eigenvalue a + i b and v_minus is an eigenvector with eigenvalue a − i b. Moreover, it specifies exactly which eigenvectors: v_plus = (1, −i)ᵗ and v_minus = (1, i)ᵗ. The nonzero condition is the standard requirement for eigenvectors.

Step 2: Compare to the natural language statement.
The natural language statement: If the 2×2 matrix M represents the complex number a+ib (i.e., M = [[a, −b], [b, a]]), then M has eigenvalues a ± i b with corresponding eigenvectors [1; ∓ i]. The Lean code defines precisely this matrix as M_complex a b and asserts the existence of eigenpairs with those eigenvalues and exactly those eigenvectors [1; −i] and [1; i]. This matches the statement. The scalars are coerced to ℂ appropriately, and the vectors are functions Fin 2 → ℂ, which correspond to column vectors. The theorem is stronger in that it pins down the exact vectors, which is consistent with the statement “with the corresponding eigenvectors.”

Step 3: Final check for discrepancies.
- The code works over ℂ (matrix entries lifted from ℝ), which aligns with considering eigenvalues a ± i b and eigenvectors over ℂ.
- The existential structure includes nonzeroness, which is standard and implicit in the notion of eigenvector.
- The theorem names the specific vectors vec_plus and vec_minus to match [1; ∓ i].
- There are no vacuous or placeholder definitions; all auxiliary definitions are concrete and correct.
- It doesn’t quantify over an arbitrary M with the property; instead it defines M_complex a b. This is a faithful formalization of “M represents a+ib.”
No meaningful discrepancies found. The translation is legitimate and faithful.
### END THOUGHT",1
